section_name,zone,price,listingId,ticketClass,img
203,200 Level,"INR8,889",8661591154,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73844.jpg?im=Resize=(500,271)"
420,400 Level,"INR8,889",8639603448,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73970.jpg?im=Resize=(500,271)"
225,200 Level,"INR8,904",8485273159,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73843.jpg?im=Resize=(500,271)"
419,400 Level,"INR8,909",8533601223,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73984.jpg?im=Resize=(500,271)"
220,200 Level,"INR8,934",8663615135,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73790.jpg?im=Resize=(500,271)"
416,400 Level,"INR8,934",8664346687,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73894.jpg?im=Resize=(500,271)"
226,200 Level,"INR8,936",8664330402,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73919.jpg?im=Resize=(500,271)"
222,200 Level,"INR8,940",8658149237,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73880.jpg?im=Resize=(500,271)"
421WC,400 Level,"INR8,953",8663769694,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73803.jpg?im=Resize=(500,271)"
213,200 Level,"INR9,020",8655054336,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73777.jpg?im=Resize=(500,271)"
221,200 Level,"INR9,081",7818097983,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73987.jpg?im=Resize=(500,271)"
419,400 Level,"INR9,122",8663502347,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73984.jpg?im=Resize=(500,271)"
113,100 Level,"INR9,125",8243552158,3788,"https://img.vggcdn.net/img/vfsnew/2d/3708/73876.jpg?im=Resize=(500,271)"
210,200 Level,"INR9,125",8664027844,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73820.jpg?im=Resize=(500,271)"
226,200 Level,"INR9,128",8551578555,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73919.jpg?im=Resize=(500,271)"
227,200 Level,"INR9,214",8605463815,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73835.jpg?im=Resize=(500,271)"
418,400 Level,"INR9,214",8605463770,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73810.jpg?im=Resize=(500,271)"
208,200 Level,"INR9,235",8088028364,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73909.jpg?im=Resize=(500,271)"
